name,memory_usage,status,date,cpu,ip_address
Mobile-applications-UI-test,52985856,Running,1589905387.0,0,"['172.18.0.1', 'fe80::42:a3ff:fe71:46d3', '10.17.170.111', 'fd87:1cf1:9a65:0:216:3eff:fef1:d3b2', 'fd97:522f:fa6:0:216:3eff:fef1:d3b2', 'fd00:10:17:a0:216:3eff:fef1:d3b2', 'fe80::216:3eff:fef1:d3b2', 'fe80::c03e:81ff:fec0:b3e4', '172.17.0.1', 'fe80::42:3cff:feb4:a553', '127.0.0.1', '::1']"
docker-at,value not found,Stopped,1583024588.0,value not found,value not found
docker-logman-prod-env,763113472,Running,1591978365.0,0,"['127.0.0.1', '::1', '172.17.0.1', 'fe80::40e0:cff:fef8:280c', '10.17.168.70', 'fd87:1cf1:9a65:0:216:3eff:fef3:8cb6', 'fd97:522f:fa6:0:216:3eff:fef3:8cb6', 'fd00:10:17:a0:216:3eff:fef3:8cb6', 'fe80::216:3eff:fef3:8cb6', 'fe80::e409:ebff:fef5:7ef7', 'fe80::3050:64ff:fe9a:4644', '172.18.0.1', 'fe80::42:61ff:fe2d:352a', 'fe80::6cd1:8aff:fe80:2bea', 'fe80::74ad:37ff:feba:4c75']"
ecr-messenger-test,2099625984,Running,1584105466.0,0,"['fe80::6037:f4ff:fe7b:68c3', 'fe80::e4a6:61ff:fef0:e517', '10.17.168.114', 'fd87:1cf1:9a65:0:216:3eff:feaa:bc35', 'fd97:522f:fa6:0:216:3eff:feaa:bc35', 'fd00:10:17:a0:216:3eff:feaa:bc35', 'fe80::216:3eff:feaa:bc35', 'fe80::dc9d:3cff:fefb:6f28', 'fe80::2890:d5ff:fe92:ed3f', 'fe80::5cff:eff:fe7c:34c1', '172.18.0.1', 'fe80::42:42ff:fe90:3795', '127.0.0.1', '::1', '172.17.0.1', 'fe80::42:f5ff:fe7d:bcb1']"
fastkafka-at-2006,76591104,Running,1591473519.0,0,"['10.17.164.107', 'fd87:1cf1:9a65:0:216:3eff:fe7d:7fc9', 'fd97:522f:fa6:0:216:3eff:fe7d:7fc9', 'fd00:10:17:a0:fdf9:f5e6:51bc:99ef', 'fd00:10:17:a0:216:3eff:fe7d:7fc9', 'fe80::216:3eff:fe7d:7fc9', '127.0.0.1', '::1']"
ftp-test,57446400,Running,1570711371.0,0,"['10.17.170.231', 'fd87:1cf1:9a65:0:216:3eff:fe4d:1dda', 'fd97:522f:fa6:0:216:3eff:fe4d:1dda', 'fd00:10:17:a0:216:3eff:fe4d:1dda', 'fe80::216:3eff:fe4d:1dda', '127.0.0.1', '::1']"
genie-docker-test,632188928,Running,1589467800.0,0,"['10.17.161.11', 'fd87:1cf1:9a65:0:216:3eff:fec8:12b', 'fd97:522f:fa6:0:216:3eff:fec8:12b', 'fd00:10:17:a0:216:3eff:fec8:12b', 'fe80::216:3eff:fec8:12b', 'fe80::c0e8:28ff:fe65:96e3', '172.18.0.1', 'fe80::42:14ff:fea8:f6f8', 'fe80::18ef:6fff:fe4a:e61b', 'fe80::b01d:b4ff:fec4:8f1f', 'fe80::e003:8cff:fea6:4730', 'fe80::648c:57ff:fe02:ac63', 'fe80::186b:83ff:fe06:cc4f', 'fe80::a857:6ff:fed7:e29a', '172.17.0.1', 'fe80::42:94ff:fee9:1e49', '127.0.0.1', '::1']"
gitlab-ci-runner-test,86732800,Running,1591620016.0,0,"['127.0.0.1', '::1', '172.17.0.1', 'fe80::42:daff:fe23:46ab', '10.17.161.22', 'fd87:1cf1:9a65:0:216:3eff:fe22:7dcf', 'fd97:522f:fa6:0:216:3eff:fe22:7dcf', 'fd00:10:17:a0:216:3eff:fe22:7dcf', 'fe80::216:3eff:fe22:7dcf', 'fe80::a01b:72ff:fe62:5af0']"
kafka-ui,190758912,Running,1593018205.0,0,"['fe80::6c10:4fff:fe0f:cbca', '172.17.0.1', 'fe80::42:deff:fe97:f7b7', '127.0.0.1', '::1', '10.17.164.96', 'fd87:1cf1:9a65:0:216:3eff:fe45:b27c', 'fd97:522f:fa6:0:216:3eff:fe45:b27c', 'fd00:10:17:a0:216:3eff:fe45:b27c', 'fe80::216:3eff:fe45:b27c', '172.18.0.1', 'fe80::42:26ff:fe76:94d1']"
lmio-deploy-single-test,55820288,Running,1590410743.0,0,"['10.17.166.22', 'fd87:1cf1:9a65:0:216:3eff:fe9e:1fc', 'fd97:522f:fa6:0:216:3eff:fe9e:1fc', 'fd00:10:17:a0:216:3eff:fe9e:1fc', 'fe80::216:3eff:fe9e:1fc', '172.18.0.1', 'fe80::42:78ff:feb7:624d', '127.0.0.1', '::1', '172.17.0.1', 'fe80::42:70ff:fec4:a6d8']"
scep-testing,123838464,Running,1591714302.0,0,"['127.0.0.1', '::1', '10.17.167.80', 'fd87:1cf1:9a65:0:216:3eff:fe02:b013', 'fd97:522f:fa6:0:216:3eff:fe02:b013', 'fd00:10:17:a0:21cd:463e:8e0:956', 'fd00:10:17:a0:216:3eff:fe02:b013', 'fe80::216:3eff:fe02:b013']"
seacat-pki-test,411295744,Running,1587038826.0,0,"['172.10.5.1', 'fe80::42:c7ff:febf:23c0', 'fe80::78c8:2eff:fe3a:9bde', 'fe80::b4e0:e8ff:fea8:4d27', '10.17.169.13', 'fd87:1cf1:9a65:0:216:3eff:fee1:d708', 'fd97:522f:fa6:0:216:3eff:fee1:d708', 'fd00:10:17:a0:216:3eff:fee1:d708', 'fe80::216:3eff:fee1:d708', '172.19.0.1', '172.18.0.1', 'fe80::42:52ff:fed3:5b7', 'fe80::64a7:f4ff:fe9c:9209', 'fe80::e8b1:3aff:fedd:dcbe', '127.0.0.1', '::1', '172.17.0.1', 'fe80::42:acff:fe70:7cff', 'fe80::f498:c8ff:fe32:5b1e', '172.20.0.1']"
teskalabs-apm,667648,Running,1566580588.0,0,"['127.0.0.1', '::1', '10.17.162.236', 'fd87:1cf1:9a65:0:216:3eff:fecb:b502', 'fd97:522f:fa6:0:216:3eff:fecb:b502', 'fd00:10:17:a0:216:3eff:fecb:b502', 'fe80::216:3eff:fecb:b502']"
tlbackup-server,27820032,Running,1566216511.0,0,"['10.17.165.109', 'fd87:1cf1:9a65:0:216:3eff:fec9:5224', 'fd97:522f:fa6:0:216:3eff:fec9:5224', 'fd00:10:17:a0:216:3eff:fec9:5224', 'fe80::216:3eff:fec9:5224', '127.0.0.1', '::1']"
wiki-test,1527808,Running,1571752274.0,0,"['127.0.0.1', '::1', '10.17.165.138', 'fd87:1cf1:9a65:0:216:3eff:fe4a:babb', 'fd97:522f:fa6:0:216:3eff:fe4a:babb', 'fd00:10:17:a0:216:3eff:fe4a:babb', 'fe80::216:3eff:fe4a:babb']"
zookeeper-ui,698519552,Running,1583933893.0,0,"['10.17.164.94', 'fd87:1cf1:9a65:0:216:3eff:feb4:c5db', 'fd97:522f:fa6:0:216:3eff:feb4:c5db', 'fd00:10:17:a0:216:3eff:feb4:c5db', 'fe80::216:3eff:feb4:c5db', '172.19.0.1', '127.0.0.1', '::1', '172.17.0.1', 'fe80::42:80ff:feb5:861e', 'fe80::44fe:a8ff:fe4e:92cd', '172.18.0.1', 'fe80::42:5fff:fed8:ad7c']"
zzz-mautic-test,45236224,Running,1574342203.0,0,"['127.0.0.1', '::1', 'fd87:1cf1:9a65:0:216:3eff:feec:8db', 'fd97:522f:fa6:0:216:3eff:feec:8db', 'fd00:10:17:a0:f8f6:a9fa:ae2:257f', 'fd00:10:17:a0:216:3eff:feec:8db', 'fe80::216:3eff:feec:8db']"
